Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
A001,"Corn grits, white","Mais, durog, puti",12.2,357,8.3,1.5,77.5,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0011.png
A002,"Corn grits, yellow","Mais, durog, dilaw",12,350,7.7,0.8,78.1,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0417.JPG
A003,"Corn on cob, white","Mais sa busal, puti",63.2,148,4.4,0.8,30.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0400.JPG
A004,"Corn on cob, yellow","Mais sa busal, dilaw",57.9,173,4.4,1.5,35.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/IMG_1057_copy.png
A005,"Corn on cob, yellow, boiled","Mais sa busal, dilaw, nilaga",59.2,167,3.3,1.2,35.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0459.JPG
A006,"Cornmeal, white","Mais, giniling, puti",12.2,353,7.6,0.6,79.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize21.jpg
A007,"Cornmeal, yellow","Mais, giniling, dilaw",10.4,371,8.5,3.2,77,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa32.jpg
A008,Job's tears grain,Adlay/Tigbe butil,10.2,368,13.1,2.5,73.3,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0081.png
A009,"Millet, glutinous",N/A,13.6,353,10.3,2.5,72.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A009resized.png
A010,Rice bran,Darak,13.6,316,7.8,5,59.9,13.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize23.jpg
A011,"Rice, glutinous, parboiled, flattened",Pinipig,14.8,340,4.3,1,78.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0111.png
A012,"Rice, milled, glutinous","Bigas, malagkit",11.7,355,6.9,0.8,80.1,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0121.png
A013,"Rice, milled, glutinous, milled w/ water","Bigas, malagkit, galapong",47.4,210,4.4,0.1,47.9,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0131.png
A014,"Rice, undermilled",Brown rice/Pinawa,11.6,363,8.1,2.8,76.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A014.png
A015,"Rice, undermilled, glutinous, purple","Bigas, malagkit, pirurutong",11.5,358,8.7,2,76.3,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A015_copy4.png
A016,"Rice, undermilled, glutinous, purple, boiled","Bigas, malagkit, pirurutong, sinaing",68.8,124,2.4,0.4,27.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0161.png
A017,"Rice, undermilled, red","Bigas, mapula",10.4,358,4.5,0.9,80,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0171.png
A019,"Rice, well-milled","Bigas, maputi",11.1,356,7.4,0.5,80.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0191.png
A020,"Rice, well-milled, boiled","Bigas, maputi, sinaing",67.6,129,2.1,0.2,29.7,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0201.png
A021,"Rice, well-milled, fried","Bigas, maputi, sinangag",57.4,187,2.6,4,35.2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0211.png
A022,Rice-corn mixture (1:1),Bigas-mais pinaghalo (1:1),9.2,366,7.5,1,81.8,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A022copy.png
A023,"Rice-corn mixture (1:1), boiled","Bigas-mais pinaghalo (1:1), sinaing",76.4,96,2.2,0.3,21,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A023_Rice-corn_mix_boiled.png
A024,Sorghum,"Batad/Batag, butil",8.1,382,9.5,3.9,77.1,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0241.png
A025,"Sorghum, boiled","Batad/Batag, butil, nilaga",63.2,150,3.5,1,31.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0251.png
A026,"Ampaw, pinipig",N/A,3.3,392,3.1,1.6,91.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0261.png
A027,"Ampaw, rice",N/A,5.6,385,4.5,2.1,87.1,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0271.png
A028,Bicho-bicho,Bitsu-bitso,22,376,7.4,14,55.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A028.png
A029,"Biscuit, cocohoney",N/A,3.9,453,7,14.7,73.2,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A029_copy1.png
A030,"Bread, w/ margarine & sugar filling",Spanish bread,21.6,371,9.3,12.4,55.5,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A030_copy1.png
A031,"Bread, brown",N/A,21.7,313,12.1,0.9,64.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize24.jpg
A032,"Bread, cheese roll",N/A,29.4,342,10.1,13.5,45.1,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize24.jpg
A033,"Bread, cinnamon roll",N/A,18.7,387,9.1,13.1,58.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0331.png
A034,"Bread, hotdog roll",N/A,24,320,10.2,3.8,61.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0341.png
A035,"Bread, toasted, w/ margarine-sugar topping",Biscocho,5,412,9.3,7.4,77.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A035.png
