ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,diabetes_nutrient_density
14121,Beverages,"CARBONATED BEV,CLUB SODA","Carbonated beverage, club soda",soft drink,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.006,0.01,1.0,0.001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041666666666666,6.666666666666667e-06,0.0023809523809523,0.0,0.0,0.009090909090909,inf
14201,Beverages,"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED","Coffee, brewed from grounds, prepared with tap water, decaffeinated",0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,2.0,0.007,0.05,5.0,0.027,1.0,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.013875,0.0,0.0,0.0016666666666666,7.777777777777777e-06,0.0119047619047619,0.0014285714285714,0.0018181818181818,0.0018181818181818,inf
14432,Beverages,"WATER,BTLD,NON-CARBONATED,DANNON","Water, bottled, non-carbonated, DANNON",0,"The Dannon Company, Inc.",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0023809523809523,0.0,0.0,0.0,inf
14440,Beverages,"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO","Water, bottled, non-carbonated, DANNON Fluoride To Go",0,0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0023809523809523,0.0,0.0,0.0,inf
14429,Beverages,"WATER,TAP,MUNICIPAL","Water, tap, municipal",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1e-05,0.0023809523809523,0.0,0.0,0.0,inf
14075,Beverages,"BEVERAGES,H2O,BTLD,NATURALLY SPARKLING (CARBONATED),MINERAL","Beverages, water, bottled, naturally sparkling (carbonated), mineral",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0261904761904761,0.0,0.0,0.0,inf
14537,Beverages,"CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF","Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine","soft drink, pop, soda",0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.025,0.04,1.0,0.017,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333,2.777777777777778e-05,0.0023809523809523,0.0,0.0,0.0045454545454545,inf
14412,Beverages,"WATER,TAP,WELL","Water, tap, well",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.016,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1.7777777777777777e-05,0.0023809523809523,0.0,0.0,0.0009090909090909,inf
14411,Beverages,"WATER,TAP,DRINKING","Water, tap, drinking",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1.1111111111111112e-05,0.0023809523809523,0.0,0.0,0.0009090909090909,inf
14599,Beverages,"BEVERAGES,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS","Beverages, Powerade Zero Ion4, calorie-free, assorted flavors",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.17,2.5,0.57,0.0,0.845,0.0,0.011,2.0,0.006,0.05,1.0,0.0,0.0,0.0,0.01,0.0,0.0329411764705882,0.0708333333333333,0.0277777777777777,0.038,0.0,0.0528125,0.0,0.0091666666666666,0.0016666666666666,6.666666666666667e-06,0.0023809523809523,0.0,0.0,0.0009090909090909,inf
