Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link,Category
A001,"Corn grits, white","Mais, durog, puti",12.2,357.0,8.3,1.5,77.5,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0011.png,"GRAINS, STARCHES, OR FLOURS"
A002,"Corn grits, yellow","Mais, durog, dilaw",12.0,350.0,7.7,0.8,78.1,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0417.JPG,"GRAINS, STARCHES, OR FLOURS"
A003,"Corn on cob, white","Mais sa busal, puti",63.2,148.0,4.4,0.8,30.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0400.JPG,"GRAINS, STARCHES, OR FLOURS"
A004,"Corn on cob, yellow","Mais sa busal, dilaw",57.9,173.0,4.4,1.5,35.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/IMG_1057_copy.png,"GRAINS, STARCHES, OR FLOURS"
A005,"Corn on cob, yellow, boiled","Mais sa busal, dilaw, nilaga",59.2,167.0,3.3,1.2,35.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/DSC_0459.JPG,"GRAINS, STARCHES, OR FLOURS"
A006,"Cornmeal, white","Mais, giniling, puti",12.2,353.0,7.6,0.6,79.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize21.jpg,"GRAINS, STARCHES, OR FLOURS"
A007,"Cornmeal, yellow","Mais, giniling, dilaw",10.4,371.0,8.5,3.2,77.0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaaa32.jpg,"GRAINS, STARCHES, OR FLOURS"
A008,Job's tears grain,Adlay/Tigbe butil,10.2,368.0,13.1,2.5,73.3,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0081.png,"GRAINS, STARCHES, OR FLOURS"
A009,"Millet, glutinous",,13.6,353.0,10.3,2.5,72.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A009resized.png,"GRAINS, STARCHES, OR FLOURS"
A010,Rice bran,Darak,13.6,316.0,7.8,5.0,59.9,13.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize23.jpg,"GRAINS, STARCHES, OR FLOURS"
A011,"Rice, glutinous, parboiled, flattened",Pinipig,14.8,340.0,4.3,1.0,78.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0111.png,"GRAINS, STARCHES, OR FLOURS"
